Date,ABNB,MO,AMZN,APTV,ADM,AZO,BBY,BKNG,BF-B,BG,CPB,KMX,CCL,CMG,CHD,CLX,KO,CL,CAG,STZ,COST,DRI,DECK,DG,DLTR,DPZ,DASH,DHI,EBAY,EL,EXPE,F,GRMN,GIS,GM,GPC,HAS,HSY,HLT,HD,HRL,K,KVUE,KDP,KMB,KHC,KR,LW,LVS,LEN
2017-09-01,,34.900577545166016,48.067501068115234,80.78550720214844,33.56517791748047,595.1099853515625,42.53425979614258,1804.791748046875,37.44933319091797,54.437965393066406,35.510841369628906,75.80999755859375,59.03462600708008,6.156599998474121,43.79896926879883,104.80622863769531,34.76218795776367,59.8917236328125,25.19083595275879,176.50621032714844,146.97042846679688,62.45933151245117,11.401666641235352,72.77637481689453,86.81999969482422,181.26947021484375,,36.58388137817383,34.34872817993164,97.68496704101562,139.07521057128906,7.806183338165283,43.88365936279297,38.45137405395508,34.88024139404297,75.35150146484375,73.63749694824219,90.39244079589844,67.41976928710938,134.86070251464844,25.96506118774414,44.318519592285156,,11.784245491027832,88.55644226074219,53.329315185546875,16.923160552978516,41.742496490478516,53.6131591796875,45.9930419921875
2017-10-01,,35.717960357666016,55.263999938964844,81.59008026123047,32.270259857177734,589.5,42.046363830566406,1884.778076171875,39.4600830078125,53.905025482177734,35.927974700927734,75.0999984741211,60.6986083984375,5.438000202178955,40.833831787109375,100.53166198730469,35.79390335083008,57.91862869262695,25.504413604736328,193.88687133789062,144.0988006591797,65.2262954711914,11.373332977294922,72.58780670166016,91.25,167.4814453125,,40.50519943237305,33.61637878417969,101.28112030029297,120.44685363769531,8.001826286315918,46.48610305786133,38.57024002075195,37.50445556640625,70.06049346923828,69.80748748779297,87.916748046875,70.16705322265625,136.69113159179688,25.173349380493164,44.43220901489258,,11.482150077819824,85.35408020019531,53.17802429199219,17.46308708190918,45.39240646362305,53.567352294921875,48.4930419921875
2017-11-01,,37.725765228271484,58.837501525878906,85.93313598632812,31.48856544494629,686.760009765625,44.77284622192383,1714.9769287109375,41.38395309448242,52.43944549560547,37.68012237548828,68.91000366210938,60.01289749145508,6.087800025939941,42.569515228271484,111.39765167236328,35.63042449951172,59.89041519165039,28.048519134521484,192.5594024658203,164.98721313476562,67.38412475585938,12.454999923706055,79.34193420410156,102.76000213623047,170.37347412109375,,46.72621154785156,30.963863372802734,113.0750732421875,118.3598403930664,8.266246795654297,50.977874755859375,42.41619873046875,37.6004524230957,73.8243637084961,70.55290985107422,91.8497314453125,75.29268646240234,148.26760864257812,29.611406326293945,47.0115852355957,,12.089369773864746,90.85419464111328,55.95624542236328,21.81619644165039,48.4013557434082,58.562347412109375,55.65587615966797
2017-12-01,,39.716888427734375,58.4734992980957,83.33454132080078,31.90306282043457,711.3699951171875,51.42757034301758,1713.03515625,47.52233123779297,52.94377136230469,36.770599365234375,64.12999725341797,61.09062957763672,5.780600070953369,45.54387664794922,118.95535278320312,36.008872985839844,62.37034606933594,28.303979873657227,202.7646942138672,166.9931640625,76.7341537475586,13.375,83.78286743164062,107.30999755859375,172.93603515625,,46.906070709228516,33.70570373535156,115.60870361328125,116.00716400146484,8.246440887451172,48.916744232177734,44.4635124206543,35.76799011230469,75.44426727294922,68.9373779296875,94.54930877685547,77.68424987792969,157.06553649902344,29.56266212463379,48.69850158691406,,13.010246276855469,91.53695678710938,53.90135192871094,23.2890567779541,50.43767547607422,58.731388092041016,56.06366729736328
2018-01-01,,39.474308013916016,72.54450225830078,93.20735931396484,34.18754196166992,765.4400024414062,55.17777633666992,1884.866943359375,48.11192321777344,62.6911735534668,35.578285217285156,71.37000274658203,65.91382598876953,6.495200157165527,44.3455924987793,113.31703186035156,37.35097122192383,61.37010192871094,28.55193519592285,194.69204711914062,174.8439483642578,76.59829711914062,14.28499984741211,92.88987731933594,115.0,198.96800231933594,,45.05078125,36.242103576660156,122.62300109863281,123.98828887939453,7.242870807647705,52.121070861816406,43.863563537597656,37.3437385559082,83.23800659179688,71.72855377197266,91.90050506591797,83.3165054321289,166.48793029785156,27.889144897460938,48.791629791259766,,16.09722328186035,89.47078704833984,54.33803939819336,25.757951736450195,52.35869216918945,66.18952941894531,55.54948806762695
2018-02-01,,35.32709884643555,75.62249755859375,89.7199478149414,33.04927444458008,664.719970703125,54.70952224731445,2005.12255859375,48.452125549316406,59.53410720825195,33.14680480957031,61.91999816894531,61.58768081665039,6.368199825286865,44.654239654541016,103.83586883544922,33.921180725097656,57.30946731567383,27.29790687561035,191.1525421142578,171.281982421875,74.14631652832031,15.763333320617676,85.43818664550781,102.63999938964844,204.06948852539062,,38.48374938964844,38.27838897705078,125.78489685058594,101.8658447265625,7.177692890167236,49.057064056396484,38.220619201660156,34.6492919921875,73.45611572265625,72.92799377441406,81.84667205810547,78.58894348144531,151.04910278320312,26.51082420349121,47.42336654663086,,15.67911434173584,84.82135009765625,46.477439880371094,23.009078979492188,48.32904052734375,62.1679573059082,50.187767028808594
2018-03-01,,34.973548889160156,72.36699676513672,83.66376495361328,34.79164505004883,648.6900024414062,52.85919189453125,2050.813720703125,47.20940017700195,58.71796798706055,33.34699630737305,61.939998626708984,60.756412506103516,6.462200164794922,45.92216491699219,107.07772064208984,34.086002349853516,59.561309814453125,27.86457061767578,202.68020629882812,169.51815795898438,68.56462860107422,15.005000114440918,84.49881744384766,94.9000015258789,214.30003356933594,,40.37791442871094,35.938446044921875,136.3954620361328,106.94121551513672,7.495648384094238,48.80035400390625,34.06964874267578,31.998872756958008,71.85647583007812,64.3280029296875,82.98583984375,76.61422729492188,147.70938110351562,28.029926300048828,46.570899963378906,,15.966395378112793,84.21724700927734,43.17791748046875,20.401798248291016,52.18925857543945,61.390960693359375,52.28113555908203
2018-04-01,,31.825410842895508,78.30650329589844,83.27975463867188,36.404075622558594,624.52001953125,58.172210693359375,2147.0361328125,49.69515609741211,57.360008239746094,31.39899444580078,62.5,58.42176055908203,8.46660041809082,42.12875747680664,94.27922821044922,34.212703704833984,54.2017822265625,28.00812339782715,207.31324768066406,177.37200927734375,74.6852035522461,15.543333053588867,87.19047546386719,95.88999938964844,222.33639526367188,,40.65422058105469,33.83073806762695,134.91050720214844,111.83151245117188,7.603888988494873,48.99365997314453,33.07160186767578,32.68013381958008,71.20001220703125,67.2200927734375,77.09902954101562,76.83470916748047,154.01907348632812,29.606197357177734,42.53721618652344,,16.259174346923828,79.8926773071289,39.44672393798828,21.46705436706543,58.553802490234375,63.243125915527344,46.91465759277344
2018-05-01,,31.61556053161621,81.48100280761719,96.00114440917969,35.07242202758789,649.3200073242188,51.878387451171875,2078.93798828125,50.156288146972656,55.23173522949219,26.11274528503418,68.91999816894531,57.69913101196289,8.603599548339844,42.81267166137695,98.01898193359375,34.04642105102539,52.7308349609375,28.160903930664062,198.37623596191406,178.34364318847656,70.8155288696289,18.860000610351562,79.25812530517578,82.58999633789062,231.30419921875,,38.876625061035156,33.68783187866211,136.14041137695312,117.55227661132812,7.918440818786621,50.179466247558594,32.3235969543457,37.981544494628906,73.19123840332031,66.67842864990234,75.50572967529297,78.65715789794922,155.4775848388672,29.470067977905273,46.50204849243164,,16.169713973999023,77.81704711914062,40.216339111328125,20.734163284301758,57.14643096923828,69.521728515625,45.92830276489258
2018-06-01,,32.211116790771484,84.98999786376953,90.43466186523438,37.044517517089844,670.9299926757812,56.68996047973633,1998.2713623046875,43.46109390258789,55.72138977050781,31.46880531311035,72.87000274658203,53.508331298828125,8.627400398254395,48.699119567871094,109.71669006347656,34.72735595703125,54.16843032836914,27.15027618408203,195.28494262695312,188.55392456054688,86.73501586914062,18.815000534057617,89.33299255371094,85.0,259.5320129394531,,37.870670318603516,32.3838996887207,130.3209991455078,117.03834533691406,7.589359760284424,50.93937683105469,33.82932662963867,35.046199798583984,73.99738311767578,70.95198822021484,78.59807586669922,77.28650665283203,163.5138397216797,30.553955078125,50.87611770629883,,16.535667419433594,81.28157806396484,44.42076873779297,24.369226455688477,61.59682083129883,65.8563232421875,46.602935791015625
