Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC
2022-09-01,244.6720733642578,275.20001220703125,63.36000061035156,80.31999969482422,32.50383758544922,132.15269470214844,136.05235290527344,79.7125244140625,19.489999771118164,28.22249984741211,186.8000030517578,41.830875396728516,163.42999267578125,150.394775390625,36.304744720458984,54.66203689575195,26.579265594482422,164.80999755859375,88.77999877929688,31.788305282592773,362.19000244140625,144.72999572753906,412.010009765625,132.27000427246094,49.130001068115234,276.69000244140625,18.884592056274414,70.87999725341797,10.90024471282959,22.13249969482422,105.8136215209961,24.518293380737305,379.0051574707031,57.220394134521484,157.36000061035156,293.3421325683594,35.26015090942383,56.98912048339844,49.18583679199219,227.2469482421875,354.2906188964844,215.88986206054688,57.347049713134766,12.120832443237305,138.6297607421875,62.33000183105469,58.54314422607422,8.130000114440918,81.8949966430664,104.5999984741211
2022-10-01,269.96661376953125,318.5,60.060001373291016,88.33000183105469,36.911033630371094,135.26351928710938,150.9570770263672,85.90039825439453,16.959999084472656,30.21500015258789,214.3000030517578,44.66211700439453,151.38999938964844,166.515380859375,41.23310470581055,59.23941421508789,29.46433448791504,161.1999969482422,80.51000213623047,35.72347640991211,350.0,142.91000366210938,478.8399963378906,145.57000732421875,57.15999984741211,301.9200134277344,21.125614166259766,80.4000015258789,13.101524353027344,24.74749183654785,123.16272735595703,27.049091339111328,418.3226623535156,63.70490264892578,174.14999389648438,306.7380065917969,39.147151947021484,57.6521110534668,53.11284637451172,226.49563598632812,331.59661865234375,241.47650146484375,64.2268295288086,13.480803489685059,138.03614807128906,61.43000030517578,74.83975219726562,8.789999961853027,85.79499816894531,117.83000183105469
2022-11-01,287.4333801269531,344.92999267578125,77.62999725341797,94.86000061035156,39.15013122558594,163.04273986816406,145.72959899902344,106.63362884521484,14.40999984741211,34.82500076293945,201.9499969482422,52.348690032958984,172.0399932861328,181.76882934570312,45.545963287353516,59.201351165771484,31.259490966796875,117.6500015258789,75.77999877929688,42.07084655761719,368.5799865722656,154.61000061035156,619.719970703125,172.52999877929688,53.15999984741211,350.3699951171875,21.528806686401367,79.12999725341797,15.405998229980469,26.91581153869629,132.61215209960938,28.609432220458984,399.5936584472656,71.57756042480469,180.88999938964844,381.0840148925781,45.68489074707031,73.94672393798828,56.717491149902344,248.94711303710938,373.1230773925781,263.2249755859375,63.15769577026367,16.902692794799805,166.15740966796875,75.19999694824219,80.003662109375,7.5,84.94999694824219,127.20999908447266
2022-12-01,254.8722381591797,336.5299987792969,64.7699966430664,84.30000305175781,37.061927795410156,155.56918334960938,128.12303161621094,94.97505950927734,10.529999732971191,30.337499618530273,186.8699951171875,53.11820602416992,160.63999938964844,172.61553955078125,43.64057540893555,54.67259216308594,29.49151611328125,105.29000091552734,73.5,37.778289794921875,327.739990234375,143.50999450683594,598.5800170898438,149.7899932861328,48.88999938964844,336.1400146484375,20.206693649291992,74.81999969482422,14.653141975402832,24.075490951538086,126.97441101074219,25.485862731933594,381.5840148925781,67.70330810546875,171.07000732421875,366.7126159667969,40.64812469482422,65.89002227783203,49.17155838012695,234.65843200683594,345.42901611328125,249.21270751953125,56.10487747192383,14.600197792053223,149.328125,62.369998931884766,78.76069641113281,6.420000076293945,69.7699966430664,120.04000091552734
2023-01-01,266.5346374511719,370.3399963378906,75.1500015258789,88.94999694824219,38.93415069580078,163.34939575195312,142.28335571289062,108.73658752441406,12.699999809265137,31.5049991607666,215.16000366210938,56.040565490722656,182.8300018310547,189.48268127441406,44.584102630615234,63.8117790222168,31.956838607788086,105.9000015258789,74.80999755859375,38.15400695800781,332.6499938964844,147.66000366210938,665.9500122070312,177.60000610351562,52.34000015258789,338.1400146484375,21.69649887084961,82.12999725341797,14.918649673461914,26.348196029663086,121.42279815673828,27.250486373901367,414.3778076171875,78.05735778808594,179.35000610351562,381.73980712890625,48.546119689941406,72.80261993408203,59.45962905883789,242.4764404296875,417.6117248535156,249.35720825195312,61.868568420410156,19.5185489654541,175.00942993164062,73.44999694824219,85.23575592041016,7.78000020980835,79.31999969482422,134.8800048828125
2023-02-01,254.6776123046875,323.95001220703125,78.58000183105469,72.5999984741211,37.83596420288086,174.7810821533203,145.3599853515625,113.28150177001953,13.5,34.67499923706055,198.69000244140625,56.929534912109375,192.94000244140625,195.6592559814453,44.70948791503906,59.87314224243164,31.347431182861328,120.69000244140625,76.5199966430664,38.48221969604492,307.6499938964844,142.97999572753906,677.3900146484375,169.13999938964844,59.439998626708984,327.80999755859375,18.396291732788086,75.70999908447266,14.437700271606445,26.691791534423828,116.52912902832031,24.039445877075195,399.9988708496094,82.42530822753906,159.9600067138672,368.9982604980469,47.17835998535156,76.00099182128906,57.01419448852539,244.0518035888672,474.13067626953125,254.9844970703125,60.78999710083008,23.19407081604004,169.4736328125,77.41000366210938,84.53018951416016,7.840000152587891,94.18499755859375,125.33000183105469
2023-03-01,274.10809326171875,385.3699951171875,98.01000213623047,78.30000305175781,39.88591384887695,188.75428771972656,162.85499572753906,120.07709503173828,15.75,41.96500015258789,208.16000366210938,61.455814361572266,210.08999633789062,188.92718505859375,48.273685455322266,58.50068664550781,32.843505859375,137.25999450683594,72.66000366210938,38.07505416870117,299.0,145.69000244140625,702.6900024414062,217.5,66.45999908447266,325.7699890136719,16.27492904663086,77.72000122070312,14.73366928100586,26.538074493408203,119.59349822998047,31.886810302734375,437.9672546386719,87.60137176513672,161.47999572753906,389.50091552734375,51.46024703979492,78.91409301757812,59.499061584472656,282.8015441894531,490.0398254394531,277.6101379394531,60.130760192871094,27.75076675415039,177.06991577148438,82.31999969482422,89.86892700195312,8.449999809265137,99.87000274658203,128.22999572753906
2023-04-01,268.8141784667969,377.55999755859375,89.37000274658203,81.97000122070312,36.93641662597656,172.15859985351562,167.57569885253906,110.49674224853516,17.0,40.040000915527344,194.7899932861328,60.44702911376953,209.4499969482422,164.40126037597656,43.629150390625,57.32933807373047,30.925771713256836,120.05000305175781,67.37999725341797,41.180904388427734,282.44000244140625,134.36000061035156,727.9500122070312,182.5800018310547,63.04999923706055,302.4599914550781,16.758625030517578,75.68000030517578,13.359831809997559,27.11317253112793,115.32394409179688,30.315410614013672,436.1203918457031,77.6548080444336,144.63999938964844,377.1768798828125,51.05856704711914,68.75076293945312,63.46303939819336,301.3999328613281,453.2021484375,283.6790771484375,59.22669219970703,27.727502822875977,156.38392639160156,71.95999908447266,91.60981750488281,7.75,91.2300033569336,125.79000091552734
2023-05-01,294.54693603515625,417.7900085449219,118.20999908447266,92.12000274658203,36.92662811279297,170.06260681152344,175.05184936523438,130.31243896484375,25.010000228881836,41.584999084472656,199.38999938964844,77.95494079589844,230.91000366210938,166.43704223632812,46.20820236206055,59.99849319458008,28.682209014892578,160.1300048828125,94.91000366210938,42.79814147949219,256.6199951171875,147.5800018310547,787.6699829101562,202.9600067138672,68.33000183105469,342.8599853515625,16.635330200195312,73.37999725341797,13.45312786102295,26.519987106323242,117.312744140625,30.686302185058594,412.4609375,88.95276641845703,161.8000030517578,432.2594299316406,60.08208084106445,70.88892364501953,67.38542938232422,322.12701416015625,480.61181640625,274.4503173828125,62.9835090637207,37.804691314697266,171.05386352539062,83.5999984741211,102.89047241210938,14.710000038146973,106.69499969482422,134.39999389648438
2023-06-01,297.1080322265625,488.989990234375,113.91000366210938,89.87000274658203,41.57610321044922,186.44773864746094,191.82948303222656,141.66465759277344,25.729999542236328,40.51499938964844,204.61000061035156,83.69283294677734,234.52000427246094,178.50448608398438,48.13393783569336,62.96821594238281,32.912357330322266,146.8699951171875,98.37999725341797,51.68059539794922,224.75,146.25999450683594,809.2100219726562,190.08999633789062,75.58999633789062,350.30999755859375,17.730728149414062,75.12999725341797,15.673545837402344,28.025766372680664,123.73951721191406,32.772010803222656,450.9101257324219,107.35468292236328,167.4499969482422,474.8684387207031,62.6307258605957,84.80144500732422,62.35622787475586,334.7755126953125,529.9767456054688,285.50921630859375,72.52359008789062,42.26922607421875,195.4846649169922,94.58000183105469,115.66194915771484,15.329999923706055,127.75499725341797,142.3000030517578
