ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
CMI,28.650234,21.095497,6.317036,2.2693915,15.718,,0.22767,0.079050004,0.079450004,0.12132,0.2603,62.949,1.769,0.931,-0.016,-0.341,76208439296,19.27,26.17099,87.397,1.45,1.116,Industrials,2026-01-11
PCAR,23.294119,20.93311,3.2214332,2.1128042,18.124,,0.14151,0.049569998,0.091120005,0.099209994,0.14876,82.453,5.69,5.04,-0.19,-0.395,62394277888,5.1,5.67522,36.878,1.11,1.024,Industrials,2026-01-11
GD,22.935192,20.532871,3.9064157,1.8558491,16.475,,0.17782,0.05796,0.081829995,0.10459,0.15326999,40.419,1.4,0.783,0.106,0.158,95592931328,15.43,17.23529,90.592,1.7,0.414,Industrials,2026-01-11
NOC,22.267721,21.454124,5.5267577,2.1648867,15.79,,0.26152,0.06529,0.09819999,0.13221,0.19422,109.401,1.109,0.924,0.043,0.096,88604491776,27.79,28.84387,111.968,1.49,0.049,Industrials,2026-01-11
TT,29.249043,25.719482,10.177038,4.0346065,20.953,,0.3721,0.114209995,0.13926,0.20219,0.36421,55.305,1.205,0.796,0.055,0.114,84934115328,13.05,14.84089,37.506,0.99,1.216,Industrials,2026-01-11
IR,63.34074,24.007795,3.337627,4.5568247,19.033,,0.05382,0.05091,0.07309,0.20476,0.43723,47.62,2.162,1.362,0.051,0.13,33986164736,1.35,3.56176,25.62,0.09,1.332,Industrials,2026-01-11
CARR,35.15625,19.2173,3.2718709,2.1701891,16.061,,0.0998,0.03812,0.18052,0.09554,0.2736,83.159,1.141,0.655,-0.068,0.005,47870033920,1.6,2.92705,17.192,1.71,1.314,Industrials,2026-01-11
OTIS,26.628317,20.170984,-6.4881763,2.475803,16.908,,,0.14044,0.09413,0.16992001,0.30384,,0.936,0.764,0.04,-0.291,35428737024,3.39,4.47524,-13.913,1.86,1.014,Industrials,2026-01-11
AME,33.223972,26.368101,4.606368,6.7903833,22.407,,0.14632,0.07488,0.20502001,0.25787002,0.35878,26.09,1.155,0.66,0.108,0.088,48648138752,6.34,7.98844,45.728,0.59,1.047,Industrials,2026-01-11
DOV,26.322033,19.013115,3.6135027,3.494713,16.546,,0.15883,0.069,0.28370002,0.1869,0.40045,40.076,2.042,1.362,0.048,-0.126,27689863168,7.67,10.61846,55.871,1.03,1.305,Industrials,2026-01-11
UNH,17.924961,19.37517,3.2535353,0.7160379,12.692,,0.17476,0.05361,0.04042,0.03813,0.19701,75.734,0.823,0.745,0.122,-0.602,311590354944,19.19,17.75365,105.725,2.57,0.425,Healthcare,2026-01-11
